ASVID	Kingdom	Supergroup	Division	Class	Order	Family	Genus	Species	Function	Function_Group	Nutrition	Notes
ASV1	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyceae	Sphaeropleales	Sphaeropleales_X	NA	NA	phototrophic	phototrophic	phototrophic	na
ASV10	Eukaryota	Opisthokonta	Metazoa	Platyhelminthes	Turbellaria	Rhabdocoela	NA	NA	flatworms	na	na	na
ASV100	Eukaryota	Opisthokonta	Metazoa	Rotifera	Rotifera_X	Rotifera_XX	Sinantherina	Sinantherina_socialis	rotifers	na	na	na
ASV1000	Eukaryota	Rhizaria	Cercozoa	Filosa-Imbricatea	Euglyphida	Euglyphidae	Euglypha	NA	consumers	consumers	omnivore	na
ASV10000	Eukaryota	Alveolata	Ciliophora	Oligohymenophorea	Peritrichia_2	Operculariidae	Opercularia	Opercularia_microdiscum	consumers	consumers	omnivore	omnivore
ASV10001	Eukaryota	Amoebozoa	Conosa	Variosea	ATCC50593-Flamella-WIM80-lineage	Flamella-lineage	Flamella	Flamella_aegyptia	consumers	consumers	bacterivore	na
ASV10003	Eukaryota	Opisthokonta	Metazoa	NA	NA	NA	NA	NA	na	na	na	na
ASV10004	Eukaryota	Opisthokonta	Metazoa	NA	NA	NA	NA	NA	na	na	na	na
ASV10005	Eukaryota	Opisthokonta	NA	NA	NA	NA	NA	NA	na	na	na	na
ASV10006	Eukaryota	Opisthokonta	Metazoa	NA	NA	NA	NA	NA	na	na	na	na
ASV10009	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	NA	NA	NA	phototrophic	phototrophic	phototrophic	na
ASV1001	Eukaryota	Opisthokonta	Fungi	NA	NA	NA	NA	NA	na	na	na	na
ASV10010	Eukaryota	Opisthokonta	Fungi	Ascomycota	NA	NA	NA	NA	na	na	na	na
ASV10011	Eukaryota	Amoebozoa	Lobosa	Tubulinea	Arcellinida	Arcellinida_X	Cryptodifflugia	NA	consumers	consumers	bacterivore	na
ASV10012	Eukaryota	Opisthokonta	NA	NA	NA	NA	NA	NA	na	na	na	na
ASV10014	Eukaryota	Excavata	Discoba	Euglenida	Euglenophyceae	Euglenaceae	Euglena	Euglena_satelles	mixotrophic	phototrophic	mixotrophic	na
ASV10015	Eukaryota	Opisthokonta	NA	NA	NA	NA	NA	NA	na	na	na	na
ASV10016	Eukaryota	Alveolata	Ciliophora	Litostomatea	NA	NA	NA	NA	consumers	consumers	eukaryvore	eukaryvore
ASV10017	Eukaryota	Opisthokonta	NA	NA	NA	NA	NA	NA	na	na	na	na
ASV10018	Eukaryota	Opisthokonta	NA	NA	NA	NA	NA	NA	na	na	na	na
ASV10019	Eukaryota	Amoebozoa	Conosa	Mycetozoa-Myxogastrea	Stemonitales-Physarales	Didymiaceae	Lepidoderma	Lepidoderma_tigrinum	consumers	consumers	bacterivore	na
ASV1002	Eukaryota	Alveolata	Apicomplexa	Gregarinomorphea	Neogregarinorida	Actinocephalidae	Ascogregarina	NA	animal_parasite	symbionts	animal_parasite	na
ASV10020	Eukaryota	Opisthokonta	Fungi	Ascomycota	NA	NA	NA	NA	na	na	na	na
ASV10021	Eukaryota	Stramenopiles	Sagenista	Labyrinthulomycetes	Amphitremida	Diplophrydaceae	Diplophrys	Diplophrys_sp.	consumers	consumers	bacterivore	na
ASV10022	Eukaryota	Opisthokonta	NA	NA	NA	NA	NA	NA	na	na	na	na
ASV10023	Eukaryota	Opisthokonta	NA	NA	NA	NA	NA	NA	na	na	na	na
ASV10024	Eukaryota	Opisthokonta	Metazoa	NA	NA	NA	NA	NA	na	na	na	na
ASV10025	Eukaryota	Rhizaria	Cercozoa	Filosa-Imbricatea	Euglyphida	Trinematidae	Trinema	Trinema_enchelys	consumers	consumers	omnivore	na
ASV10026	Eukaryota	Stramenopiles	Ochrophyta	Phaeothamniophyceae	Phaeothamniales	Phaeothamniales_X	Phaeothamniales_XX	Phaeothamniales_XX_sp.	phototrophic	phototrophic	phototrophic	na
ASV10027	Eukaryota	Excavata	Discoba	Kinetoplastea	Neobodonida	Neobodonidae	Neobodo	Neobodo_sp.	consumers	consumers	bacterivore	na
ASV10028	Eukaryota	Opisthokonta	Metazoa	NA	NA	NA	NA	NA	na	na	na	na
ASV10029	Eukaryota	Opisthokonta	Metazoa	NA	NA	NA	NA	NA	na	na	na	na
ASV1003	Eukaryota	Alveolata	Ciliophora	Litostomatea	NA	NA	NA	NA	consumers	consumers	eukaryvore	eukaryvore
ASV10030	Eukaryota	Opisthokonta	Metazoa	NA	NA	NA	NA	NA	na	na	na	na
ASV10031	Eukaryota	Opisthokonta	NA	NA	NA	NA	NA	NA	na	na	na	na
ASV10032	Eukaryota	Stramenopiles	Sagenista	Labyrinthulomycetes	Amphifilida	Amphifilaceae	NA	NA	consumers	consumers	bacterivore	na
ASV10033	Eukaryota	Opisthokonta	Fungi	NA	NA	NA	NA	NA	na	na	na	na
ASV10034	Eukaryota	Opisthokonta	Metazoa	Nematoda	Chromadorea	Chromadorea_X	NA	NA	nematodes	na	na	na
ASV10035	Eukaryota	Stramenopiles	Pseudofungi	Oomycota	Oomycota_X	Saprolegniales	NA	NA	consumers	consumers	pathogen	na
ASV10036	Eukaryota	Excavata	Discoba	Euglenida	Euglenophyceae	Euglenaceae	Trachelomonas	NA	mixotrophic	phototrophic	mixotrophic	na
ASV10037	Eukaryota	Excavata	Discoba	Heterolobosea	NA	NA	NA	NA	na	na	na	na
ASV10038	Eukaryota	Amoebozoa	Conosa	Mycetozoa-Myxogastrea	Stemonitales-Physarales	Physaraceae	NA	NA	consumers	consumers	bacterivore	na
ASV10039	Eukaryota	Opisthokonta	NA	NA	NA	NA	NA	NA	na	na	na	na
ASV1004	Eukaryota	Alveolata	Dinoflagellata	NA	NA	NA	NA	NA	na	na	na	na
ASV10040	Eukaryota	Opisthokonta	Fungi	NA	NA	NA	NA	NA	na	na	na	na
ASV10041	Eukaryota	Opisthokonta	Metazoa	Nematoda	Chromadorea	Chromadorea_X	NA	NA	nematodes	na	na	na
ASV10042	Eukaryota	Opisthokonta	NA	NA	NA	NA	NA	NA	na	na	na	na
ASV10043	Eukaryota	Stramenopiles	Sagenista	Labyrinthulomycetes	Amphifilida	Amphifilaceae	Fibrophrys	Fibrophrys_sp.	consumers	consumers	bacterivore	na
ASV10044	Eukaryota	Amoebozoa	Conosa	NA	NA	NA	NA	NA	consumers	consumers	bacterivore	na
ASV10045	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	NA	NA	NA	NA	phototrophic	phototrophic	phototrophic	na
ASV10046	Eukaryota	Opisthokonta	Metazoa	NA	NA	NA	NA	NA	na	na	na	na
ASV10047	Eukaryota	Opisthokonta	Metazoa	NA	NA	NA	NA	NA	na	na	na	na
ASV10048	Eukaryota	Stramenopiles	Opalozoa	Bicoecea	Pseudodendromonadales	Pseudodendromonadales_X	Adriamonas	Adriamonas_peritocrescens	consumers	consumers	bacterivore	na
ASV10049	Eukaryota	Opisthokonta	NA	NA	NA	NA	NA	NA	na	na	na	na
ASV1005	Eukaryota	Amoebozoa	Lobosa	Lobosa_X	Himatismenida	Cochliopodiidae	Cochliopodium	Cochliopodium_plurinucleolum	consumers	consumers	bacterivore	na
ASV10050	Eukaryota	Hacrobia	Cryptophyta	Cryptophyceae	Cryptomonadales	Cryptomonadales_X	Cryptomonas	Cryptomonas_parapyrenoidifera	mixotrophic	phototrophic	mixotrophic	na
ASV10051	Eukaryota	Opisthokonta	Fungi	NA	NA	NA	NA	NA	na	na	na	na
ASV10052	Eukaryota	Opisthokonta	Fungi	NA	NA	NA	NA	NA	na	na	na	na
ASV10053	Eukaryota	Opisthokonta	NA	NA	NA	NA	NA	NA	na	na	na	na
ASV10054	Eukaryota	Hacrobia	Haptophyta	Prymnesiophyceae	Phaeocystales	Phaeocystaceae	Phaeocystis	Phaeocystis_globosa	phototrophic	phototrophic	phototrophic	na
ASV10055	Eukaryota	Stramenopiles	Ochrophyta	NA	NA	NA	NA	NA	na	na	na	na
ASV10056	Eukaryota	Alveolata	Ciliophora	Spirotrichea	Strombidiida	Strombidiidae_M	Strombidiidae_M_X	Strombidiidae_M_X_sp.	mixotrophic	phototrophic	mixotrophic	na
ASV10057	Eukaryota	Opisthokonta	Metazoa	NA	Strombidiida	NA	NA	NA	na	na	na	na
ASV10058	Eukaryota	Excavata	Discoba	Euglenida	Strombidiida	Phacaceae	Phacus	Phacus_carinatus	mixotrophic	phototrophic	mixotrophic	na
ASV10059	Eukaryota	Amoebozoa	NA	NA	Strombidiida	NA	NA	NA	na	na	na	na
ASV1006	Eukaryota	Amoebozoa	Lobosa	NA	Strombidiida	NA	NA	NA	na	na	na	na
ASV10060	Eukaryota	Hacrobia	Telonemia	Telonemia_X	Strombidiida	Telonemia-Group-2	Telonema-Group-2	Telonema_antarcticum	consumers	consumers	bacterivore	na
ASV10062	Eukaryota	Alveolata	Apicomplexa	Gregarinomorphea	Strombidiida	Actinocephalidae	NA	NA	animal_parasite	symbionts	animal_parasite	na
ASV10064	Eukaryota	Opisthokonta	Metazoa	NA	Strombidiida	NA	NA	NA	na	na	na	na
ASV10065	Eukaryota	Stramenopiles	Ochrophyta	Chrysophyceae	Strombidiida	Chrysophyceae_Clade-E	NA	NA	mixotrophic	phototrophic	mixotrophic	na
ASV10066	Eukaryota	Rhizaria	Cercozoa	Endomyxa	Strombidiida	Thalassomyxa-lineage	Thalassomyxa-lineage_X	Thalassomyxa-lineage_X_sp.	consumers	consumers	eukaryvore	na
ASV10067	Eukaryota	Stramenopiles	NA	NA	NA	NA	NA	NA	na	na	na	na
ASV10068	Eukaryota	Opisthokonta	Fungi	NA	NA	NA	NA	NA	na	na	na	na
ASV10069	Eukaryota	Opisthokonta	Fungi	NA	NA	NA	NA	NA	na	na	na	na
ASV1007	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Peridiniales	NA	NA	NA	phototrophic	phototrophic	phototrophic	na
ASV10070	Eukaryota	Stramenopiles	Ochrophyta	Chrysophyceae	Chrysophyceae_X	NA	NA	NA	na	na	na	na
ASV10071	Eukaryota	Alveolata	NA	NA	NA	NA	NA	NA	na	na	na	na
ASV10072	Eukaryota	Rhizaria	Cercozoa	Filosa-Imbricatea	Euglyphida	Trinematidae	Trinematidae_X	Trinematidae_X_sp.	consumers	consumers	omnivore	na
ASV10074	Eukaryota	Opisthokonta	Metazoa	NA	NA	NA	NA	NA	na	na	na	na
ASV10075	Eukaryota	Stramenopiles	Sagenista	Labyrinthulomycetes	Amphitremida	Diplophrydaceae	Diplophrys	Diplophrys_sp.	consumers	consumers	bacterivore	na
ASV10076	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	NA	NA	NA	NA	phototrophic	phototrophic	phototrophic	na
ASV10077	Eukaryota	Opisthokonta	Fungi	Ascomycota	Pezizomycotina	NA	NA	NA	na	na	na	na
ASV10078	Eukaryota	Excavata	Discoba	Euglenida	Euglenophyceae	Euglenaceae	NA	NA	mixotrophic	phototrophic	mixotrophic	na
ASV10079	Eukaryota	Opisthokonta	Fungi	NA	NA	NA	NA	NA	na	na	na	na
ASV1008	Eukaryota	Opisthokonta	Fungi	Basidiomycota	Pucciniomycotina	Microbotryomycetes	NA	NA	na	na	na	na
ASV10080	Eukaryota	Amoebozoa	Lobosa	Discosea-Flabellinia	Vannellida	Vannellidae	Vannella	Vannella_miroides	consumers	consumers	bacterivore	na
ASV10081	Eukaryota	Opisthokonta	Fungi	NA	NA	NA	NA	NA	na	na	na	na
ASV10082	Eukaryota	Opisthokonta	Fungi	NA	NA	NA	NA	NA	na	na	na	na
ASV10083	Eukaryota	Opisthokonta	Metazoa	NA	NA	NA	NA	NA	na	na	na	na
ASV10084	Eukaryota	Opisthokonta	Fungi	NA	NA	NA	NA	NA	na	na	na	na
ASV10085	Eukaryota	Opisthokonta	Fungi	Ascomycota	Pezizomycotina	Sordariomycetes	NA	NA	na	na	na	na
ASV10086	Eukaryota	Stramenopiles	Opalozoa	MAST-12	MAST-12C	MAST-12C_X	MAST-12C_XX	MAST-12C_XX_sp.	consumers	consumers	bacterivore	na
ASV10087	Eukaryota	Stramenopiles	NA	NA	NA	NA	NA	NA	na	na	na	na
ASV10088	Eukaryota	Opisthokonta	Metazoa	NA	NA	NA	NA	NA	na	na	na	na
ASV10089	Eukaryota	Rhizaria	Cercozoa	Filosa-Imbricatea	Filosa-Imbricatea_X	Nudifilidae	Nudifila	Nudifila_producta	consumers	consumers	bacterivore	na
ASV1009	Eukaryota	Opisthokonta	Fungi	Basidiomycota	Agaricomycotina	Agaricomycetes	Mrakia	Mrakia_frigida	na	na	na	na
ASV10090	Eukaryota	Stramenopiles	Pseudofungi	Oomycota	Oomycota_X	NA	NA	NA	consumers	consumers	pathogen	na
ASV10092	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyceae	Chlamydomonadales	Chlamydomonadales_X	Chlamydopodium	Chlamydopodium_sp.	phototrophic	phototrophic	phototrophic	na
ASV10093	Eukaryota	Opisthokonta	Fungi	Ascomycota	NA	NA	NA	NA	na	na	na	na
ASV10094	Eukaryota	Opisthokonta	Metazoa	NA	NA	NA	NA	NA	na	na	na	na
ASV10095	Eukaryota	Opisthokonta	Fungi	NA	NA	NA	NA	NA	na	na	na	na
ASV10096	Eukaryota	Excavata	Discoba	Euglenida	NA	NA	NA	NA	na	na	na	na
ASV10097	Eukaryota	Opisthokonta	Fungi	NA	NA	NA	NA	NA	na	na	na	na
ASV10098	Eukaryota	Amoebozoa	Conosa	Archamoebea	Mastigamoebida	Mastigamoebidae	Mastigamoeba	NA	consumers	consumers	bacterivore	na
ASV10099	Eukaryota	Opisthokonta	NA	NA	NA	NA	NA	NA	na	na	na	na
ASV101	Eukaryota	Opisthokonta	Metazoa	Nematoda	Chromadorea	Chromadorea_X	NA	NA	nematodes	na	na	na
ASV1010	Eukaryota	Opisthokonta	Metazoa	Rotifera	Rotifera_X	Rotifera_XX	NA	NA	rotifers	na	na	na
ASV10100	Eukaryota	Rhizaria	Cercozoa	Filosa-Sarcomonadea	NA	NA	NA	NA	na	na	na	na
ASV10101	Eukaryota	Alveolata	Apicomplexa	Gregarinomorphea	Eugregarinorida	Gregarinidae	NA	NA	animal_parasite	symbionts	animal_parasite	na
ASV10102	Eukaryota	Stramenopiles	Sagenista	MAST-7	MAST-7B	MAST-7B_X	MAST-7B_XX	MAST-7B_XX_sp.	consumers	consumers	bacterivore	na
ASV10103	Eukaryota	Alveolata	Ciliophora	NA	NA	NA	NA	NA	na	na	na	na
ASV10104	Eukaryota	Excavata	Discoba	Discoba_XX	Jakobida	Histionidae	Reclinomonas	Reclinomonas_americana	consumers	consumers	bacterivore	na
ASV10105	Eukaryota	Opisthokonta	Fungi	NA	NA	NA	NA	NA	na	na	na	na
ASV10106	Eukaryota	Opisthokonta	NA	NA	NA	NA	NA	NA	na	na	na	na
ASV10107	Eukaryota	Opisthokonta	Fungi	NA	NA	NA	NA	NA	na	na	na	na
ASV10108	Eukaryota	Alveolata	Apicomplexa	Gregarinomorphea	Eugregarinorida	Gregarinidae	NA	NA	animal_parasite	symbionts	animal_parasite	na
ASV10109	Eukaryota	Stramenopiles	Sagenista	Labyrinthulomycetes	Amphitremida	Diplophrydaceae	Diplophrys	Diplophrys_sp.	consumers	consumers	bacterivore	na
ASV1011	Eukaryota	Opisthokonta	Fungi	Chytridiomycota	Chytridiomycotina	Chytridiomycetes	NA	NA	na	na	na	na
ASV10111	Eukaryota	Alveolata	NA	NA	NA	NA	NA	NA	na	na	na	na
ASV10112	Eukaryota	Opisthokonta	Metazoa	NA	NA	NA	NA	NA	na	na	na	na
ASV10113	Eukaryota	Opisthokonta	Metazoa	NA	NA	NA	NA	NA	na	na	na	na
ASV10114	Eukaryota	Hacrobia	Centroheliozoa	Centroheliozoa_X	Pterocystida	NA	NA	NA	consumers	consumers	omnivore	na
ASV10115	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyceae	Chlamydomonadales	Chlamydomonadales_X	Carteria	NA	phototrophic	phototrophic	phototrophic	na
ASV10116	Eukaryota	Amoebozoa	Lobosa	Tubulinea	Arcellinida	Arcellinida-A1	Nebela	Nebela_ansata	consumers	consumers	bacterivore	na
ASV10117	Eukaryota	Opisthokonta	Fungi	Ascomycota	Pezizomycotina	Sordariomycetes	NA	NA	na	na	na	na
ASV10118	Eukaryota	Rhizaria	Cercozoa	Filosa-Thecofilosea	Tectofilosida	Pseudodifflugiidae	Pseudodifflugia	Pseudodifflugia_gracilis	consumers	consumers	eukaryvore	na
ASV10119	Eukaryota	Opisthokonta	NA	NA	NA	NA	NA	NA	na	na	na	na
ASV1012	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyceae	Chlamydomonadales	Chlamydomonadales_X	NA	NA	phototrophic	phototrophic	phototrophic	na
ASV10120	Eukaryota	Stramenopiles	NA	NA	NA	NA	NA	NA	na	na	na	na
ASV10121	Eukaryota	Opisthokonta	Fungi	NA	NA	NA	NA	NA	na	na	na	na
ASV10122	Eukaryota	Opisthokonta	Metazoa	Arthropoda	Chelicerata	Arachnida	Demodex	Demodex_brevis	mites	na	na	na
ASV10123	Eukaryota	Alveolata	Apicomplexa	Gregarinomorphea	Eugregarinorida	Gregarinidae	Gregarina	Gregarina_cloptoni	animal_parasite	symbionts	animal_parasite	na
ASV10124	Eukaryota	Opisthokonta	Fungi	NA	NA	NA	NA	NA	na	na	na	na
ASV10125	Eukaryota	Rhizaria	Cercozoa	Filosa-Sarcomonadea	Cercomonadida	Paracercomonadidae	Paracercomonas	Paracercomonas_anaerobica	consumers	consumers	bacterivore	na
ASV10126	Eukaryota	Opisthokonta	NA	NA	NA	NA	NA	NA	na	na	na	na
ASV10127	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	NA	NA	NA	phototrophic	phototrophic	phototrophic	na
ASV10128	Eukaryota	Opisthokonta	Metazoa	NA	NA	NA	NA	NA	na	na	na	na
ASV10129	Eukaryota	Rhizaria	Cercozoa	NA	NA	NA	NA	NA	na	na	na	na
ASV1013	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Suessiales	Suessiaceae	NA	NA	phototrophic	phototrophic	phototrophic	na
ASV10130	Eukaryota	Opisthokonta	Metazoa	NA	NA	NA	NA	NA	na	na	na	na
ASV10131	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	NA	NA	NA	NA	phototrophic	phototrophic	phototrophic	na
ASV10132	Eukaryota	Rhizaria	Cercozoa	Filosa-Imbricatea	Spongomonadida	Spongomonadidae	Spongomonas	Spongomonas_minima	consumers	consumers	bacterivore	na
ASV10133	Eukaryota	Opisthokonta	Metazoa	NA	NA	NA	NA	NA	na	na	na	na
ASV10134	Eukaryota	Stramenopiles	Sagenista	Labyrinthulomycetes	Amphitremida	Diplophrydaceae	Diplophrys	Diplophrys_sp.	consumers	consumers	bacterivore	na
ASV10135	Eukaryota	Excavata	Discoba	Discoba_XX	Jakobida	NA	NA	NA	consumers	consumers	bacterivore	na
ASV10136	Eukaryota	Opisthokonta	NA	NA	NA	NA	NA	NA	na	na	na	na
ASV10137	Eukaryota	Opisthokonta	NA	NA	NA	NA	NA	NA	na	na	na	na
ASV10138	Eukaryota	Excavata	Discoba	NA	NA	NA	NA	NA	na	na	na	na
ASV10139	Eukaryota	Opisthokonta	NA	NA	NA	NA	NA	NA	na	na	na	na
ASV1014	Eukaryota	Amoebozoa	Lobosa	Tubulinea	Euamoebida	Hartmannellidae	NA	NA	consumers	consumers	bacterivore	na
ASV10140	Eukaryota	Stramenopiles	Ochrophyta	NA	NA	NA	NA	NA	na	na	na	na
ASV10141	Eukaryota	Opisthokonta	Fungi	Ascomycota	Saccharomycotina	Saccharomycetales	NA	NA	na	na	na	na
ASV10142	Eukaryota	Opisthokonta	Fungi	Cryptomycota	Cryptomycotina	Cryptomycotina_X	Rozella	Rozella_sp.	na	na	na	na
ASV10143	Eukaryota	Stramenopiles	Pseudofungi	Oomycota	Oomycota_X	NA	NA	NA	consumers	consumers	pathogen	na
ASV10144	Eukaryota	Archaeplastida	NA	NA	NA	NA	NA	NA	na	na	na	na
ASV10145	Eukaryota	Amoebozoa	Conosa	Archamoebea	Mastigamoebida	Mastigamoebidae	NA	NA	consumers	consumers	bacterivore	na
ASV10146	Eukaryota	Opisthokonta	Metazoa	NA	NA	NA	NA	NA	na	na	na	na
ASV10147	Eukaryota	Excavata	Discoba	Euglenida	Euglenophyceae	Euglenaceae	Trachelomonas	NA	mixotrophic	phototrophic	mixotrophic	na
ASV10148	Eukaryota	Rhizaria	Cercozoa	Filosa-Granofilosea	Desmothoracida	Clathrulinidae	Clathrulina	Clathrulina_elegans	consumers	consumers	omnivore	na
ASV10149	Eukaryota	Rhizaria	Cercozoa	Filosa-Sarcomonadea	Glissomonadida	NA	NA	NA	na	na	na	na
ASV1015	Eukaryota	Stramenopiles	Ochrophyta	Chrysophyceae	Chrysophyceae_X	Chrysophyceae_Clade-E	NA	NA	mixotrophic	phototrophic	mixotrophic	na
ASV10150	Eukaryota	Opisthokonta	Fungi	NA	NA	NA	NA	NA	na	na	na	na
ASV10153	Eukaryota	Opisthokonta	NA	NA	NA	NA	NA	NA	na	na	na	na
ASV10154	Eukaryota	Opisthokonta	Choanoflagellida	Choanoflagellatea	Craspedida	NA	NA	NA	consumers	consumers	bacterivore	na
ASV10155	Eukaryota	Opisthokonta	NA	NA	NA	NA	NA	NA	na	na	na	na
ASV10156	Eukaryota	Rhizaria	Cercozoa	Endomyxa-Phytomyxea	Plasmodiophorida	Polymyxa-lineage	Sorosphaera	Sorosphaera_veronicae	plant_parasite	symbionts	plant_parasite	na
ASV10157	Eukaryota	Archaeplastida	NA	NA	NA	NA	NA	NA	na	na	na	na
ASV10158	Eukaryota	Opisthokonta	Metazoa	NA	NA	NA	NA	NA	na	na	na	na
ASV10159	Eukaryota	Rhizaria	Cercozoa	Endomyxa-Phytomyxea	Plasmodiophorida	Plasmodiophorida_X	Spongospora	Spongospora_sp.	plant_parasite	symbionts	plant_parasite	na
ASV1016	Eukaryota	Rhizaria	Cercozoa	Filosa-Granofilosea	Cryptofilida	Mesofilidae	Mesofila	Mesofila_limnetica	consumers	consumers	bacterivore	na
ASV10160	Eukaryota	Alveolata	Ciliophora	Oligohymenophorea	Peritrichia_2	Operculariidae	Opercularia	Opercularia_microdiscum	consumers	consumers	omnivore	omnivore
ASV10161	Eukaryota	Opisthokonta	Fungi	Ascomycota	NA	NA	NA	NA	na	na	na	na
ASV10162	Eukaryota	Opisthokonta	Fungi	NA	NA	NA	NA	NA	na	na	na	na
ASV10163	Eukaryota	Opisthokonta	Fungi	Ascomycota	Saccharomycotina	NA	NA	NA	na	na	na	na
ASV10164	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	NA	NA	NA	NA	phototrophic	phototrophic	phototrophic	na
ASV10165	Eukaryota	Stramenopiles	Ochrophyta	NA	NA	NA	NA	NA	na	na	na	na
ASV10166	Eukaryota	Alveolata	NA	NA	NA	NA	NA	NA	na	na	na	na
ASV10167	Eukaryota	Opisthokonta	NA	NA	NA	NA	NA	NA	na	na	na	na
ASV10168	Eukaryota	Opisthokonta	Metazoa	NA	NA	NA	NA	NA	na	na	na	na
ASV1017	Eukaryota	Stramenopiles	Ochrophyta	Synurophyceae	Synurales	Synurales_X	Synura	NA	phototrophic	phototrophic	phototrophic	na
ASV10170	Eukaryota	Stramenopiles	Ochrophyta	NA	NA	NA	NA	NA	na	na	na	na
ASV10171	Eukaryota	Opisthokonta	Metazoa	NA	NA	NA	NA	NA	na	na	na	na
ASV10172	Eukaryota	Opisthokonta	Metazoa	NA	NA	NA	NA	NA	na	na	na	na
ASV10174	Eukaryota	Opisthokonta	Fungi	NA	NA	NA	NA	NA	na	na	na	na
ASV10176	Eukaryota	Stramenopiles	Sagenista	Labyrinthulomycetes	Amphifilida	Amphifilaceae	NA	NA	consumers	consumers	bacterivore	na
ASV10177	Eukaryota	Excavata	Discoba	Euglenida	Petalomonadida	Scytomonadidae	NA	NA	consumers	consumers	bacterivore	na
ASV10178	Eukaryota	Opisthokonta	Metazoa	Arthropoda	Crustacea	Ostracoda	Candona	Candona_candida	seed_shrimp	na	na	na
ASV10179	Eukaryota	Opisthokonta	Fungi	NA	NA	NA	NA	NA	na	na	na	na
ASV1018	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Suessiales	Borghiellaceae	NA	NA	phototrophic	phototrophic	phototrophic	na
ASV10180	Eukaryota	Excavata	Discoba	Euglenida	Aphagea	Rhabdomonadales	Rhabdomonas	Rhabdomonas_incurva	consumers	consumers	osmotrophic	na
ASV10181	Eukaryota	Excavata	Discoba	Euglenida	Aphagea	Rhabdomonadales	NA	NA	consumers	consumers	osmotrophic	na
ASV10182	Eukaryota	Opisthokonta	Fungi	NA	NA	NA	NA	NA	na	na	na	na
ASV10184	Eukaryota	Opisthokonta	NA	NA	NA	NA	NA	NA	na	na	na	na
ASV10185	Eukaryota	Amoebozoa	Lobosa	Lobosa_X	Himatismenida	Cochliopodiidae	Cochliopodium	Cochliopodium_actinophorum	consumers	consumers	bacterivore	na
ASV10186	Eukaryota	Opisthokonta	Fungi	NA	NA	NA	NA	NA	na	na	na	na
ASV10187	Eukaryota	Opisthokonta	Metazoa	NA	NA	NA	NA	NA	na	na	na	na
ASV10188	Eukaryota	Opisthokonta	Metazoa	NA	NA	NA	NA	NA	na	na	na	na
ASV10189	Eukaryota	Opisthokonta	Metazoa	NA	NA	NA	NA	NA	na	na	na	na
ASV1019	Eukaryota	Opisthokonta	Metazoa	Rotifera	Rotifera_X	Rotifera_XX	NA	NA	rotifers	na	na	na
ASV10190	Eukaryota	Rhizaria	Cercozoa	Filosa-Imbricatea	Thaumatomonadida	Esquamulidae	Esquamula	Esquamula_lacrimiformis	consumers	consumers	bacterivore	na
ASV10191	Eukaryota	Opisthokonta	Fungi	NA	NA	NA	NA	NA	na	na	na	na
ASV10192	Eukaryota	Amoebozoa	Lobosa	Lobosa_X	Himatismenida	Cochliopodiidae	Cochliopodium	Cochliopodium_kieliense	consumers	consumers	bacterivore	na
ASV10193	Eukaryota	Excavata	Discoba	Euglenida	Euglenophyceae	Euglenaceae	NA	NA	mixotrophic	phototrophic	mixotrophic	na
ASV10195	Eukaryota	Opisthokonta	Fungi	NA	NA	NA	NA	NA	na	na	na	na
ASV10196	Eukaryota	Amoebozoa	NA	NA	NA	NA	NA	NA	na	na	na	na
ASV10197	Eukaryota	Stramenopiles	Sagenista	Labyrinthulomycetes	Amphitremida	Diplophrydaceae	Diplophrys	Diplophrys_sp.	consumers	consumers	bacterivore	na
ASV10198	Eukaryota	Opisthokonta	Fungi	NA	NA	NA	NA	NA	na	na	na	na
ASV10199	Eukaryota	Opisthokonta	Metazoa	NA	NA	NA	NA	NA	na	na	na	na
ASV102	Eukaryota	Opisthokonta	Metazoa	Annelida	Annelida_X	Annelida_XX	Slavina	Slavina_appendiculata	annelids	na	na	na
ASV1020	Eukaryota	Opisthokonta	Metazoa	Gastrotricha	Gastrotricha_X	Gastrotricha_XX	Chaetonotus	Chaetonotus_armatus	gastrotrich	na	na	na
ASV10200	Eukaryota	Excavata	Discoba	Euglenida	Euglenophyceae	Phacaceae	Phacus	Phacus_warszewiczii	mixotrophic	phototrophic	mixotrophic	na
ASV10201	Eukaryota	Stramenopiles	NA	NA	NA	NA	NA	NA	na	na	na	na
ASV10202	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	NA	NA	NA	NA	phototrophic	phototrophic	phototrophic	na
ASV10203	Eukaryota	Alveolata	Apicomplexa	Gregarinomorphea	Eugregarinorida	Gregarinidae	NA	NA	animal_parasite	symbionts	animal_parasite	na
