ASVID	Kingdom	Supergroup	Division	Class	Order	Family	Genus	Species	Function	Function_Group	Nutrition	Notes
ASV2785	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	NA	NA	NA	NA	phototrophic	phototrophic	phototrophic	na
ASV2786	Eukaryota	Opisthokonta	Metazoa	Platyhelminthes	Turbellaria	Rhabdocoela	Rhynchomesostoma	Rhynchomesostoma_rostratum	flatworms	na	na	na
ASV2787	Eukaryota	Archaeplastida	Chlorophyta	NA	NA	NA	NA	NA	phototrophic	phototrophic	phototrophic	na
ASV2788	Eukaryota	Opisthokonta	Fungi	NA	NA	NA	NA	NA	na	na	na	na
ASV2789	Eukaryota	Opisthokonta	Fungi	NA	NA	NA	NA	NA	na	na	na	na
ASV279	Eukaryota	Opisthokonta	Fungi	Ascomycota	Saccharomycotina	Saccharomycetales	Candida	NA	na	na	na	na
ASV2790	Eukaryota	Rhizaria	Cercozoa	Filosa-Sarcomonadea	Glissomonadida	Allapsidae	NA	NA	consumers	consumers	bacterivore	na
ASV2791	Eukaryota	Alveolata	Apicomplexa	Gregarinomorphea	Neogregarinorida	Actinocephalidae	NA	NA	animal_parasite	symbionts	animal_parasite	na
ASV2792	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	NA	NA	NA	phototrophic	phototrophic	phototrophic	na
ASV2793	Eukaryota	Opisthokonta	Fungi	Kickxellomycota	Kickxellomycotina	Harpellales	Furculomyces	Furculomyces_boomerangus	na	na	na	na
ASV2794	Eukaryota	Alveolata	Apicomplexa	Gregarinomorphea	Neogregarinorida	Actinocephalidae	Ascogregarina	NA	animal_parasite	symbionts	animal_parasite	na
ASV2795	Eukaryota	Alveolata	Ciliophora	Oligohymenophorea	Peniculia	Frontoniidae_1	Frontonia_1	Frontonia_paramagna	consumers	consumers	omnivore	omnivore
ASV2796	Eukaryota	Excavata	Discoba	Euglenida	Euglenophyceae	Euglenaceae	Strombomonas	Strombomonas_balvayi	mixotrophic	phototrophic	mixotrophic	na
ASV2798	Eukaryota	Archaeplastida	Chlorophyta	Trebouxiophyceae	Chlorellales	Chlorellales_X	NA	NA	phototrophic	phototrophic	phototrophic	na
ASV2799	Eukaryota	Alveolata	Ciliophora	Litostomatea	Litostomatea_X	Litostomatea_XX	Apobryophyllum	Apobryophyllum_schmidingeri	consumers	consumers	eukaryvore	eukaryvore
ASV28	Eukaryota	Opisthokonta	Metazoa	Nematoda	Chromadorea	Chromadorea_X	Eumonhystera	Eumonhystera_sp.	nematodes	na	na	na
ASV280	Eukaryota	Opisthokonta	Fungi	NA	NA	NA	NA	NA	na	na	na	na
ASV2800	Eukaryota	Alveolata	Ciliophora	Spirotrichea	Hypotrichia	Holostichidae	Metaurostylopsis	Metaurostylopsis_sp.	consumers	consumers	omnivore	omnivore
ASV2802	Eukaryota	Opisthokonta	Fungi	Chytridiomycota	Chytridiomycotina	Chytridiomycetes	Rhizophydium	Rhizophydium_patellarium	na	na	na	na
ASV2803	Eukaryota	Excavata	Discoba	Kinetoplastea	Kinetoplastea_X	Kinetoplastea_XX	Kinetoplastea_XX_MET3	Kinetoplastea_XX_MET3_sp.	consumers	consumers	bacterivore	na
ASV2804	Eukaryota	Alveolata	Ciliophora	NA	NA	NA	NA	NA	na	na	na	na
ASV2805	Eukaryota	Stramenopiles	Ochrophyta	Chrysophyceae	Chrysophyceae_X	Chrysophyceae_Clade-E	NA	NA	mixotrophic	phototrophic	mixotrophic	na
ASV2806	Eukaryota	Stramenopiles	Ochrophyta	Eustigmatophyceae	Eustigmatophyceae_X	Eustigmatophyceae_XX	NA	NA	phototrophic	phototrophic	phototrophic	na
ASV2807	Eukaryota	Opisthokonta	Fungi	Ascomycota	NA	NA	NA	NA	na	na	na	na
ASV2808	Eukaryota	Opisthokonta	Metazoa	Nematoda	Chromadorea	Chromadorea_X	Prodesmodora	Prodesmodora_sp.	nematodes	na	na	na
ASV2809	Eukaryota	Archaeplastida	Chlorophyta	NA	NA	NA	NA	NA	phototrophic	phototrophic	phototrophic	na
ASV281	Eukaryota	Opisthokonta	NA	NA	NA	NA	NA	NA	na	na	na	na
ASV2810	Eukaryota	Opisthokonta	Metazoa	NA	NA	NA	NA	NA	na	na	na	na
ASV2811	Eukaryota	Stramenopiles	Ochrophyta	Chrysophyceae	Chrysophyceae_X	NA	NA	NA	na	na	na	na
ASV2812	Eukaryota	Amoebozoa	Conosa	NA	NA	NA	NA	NA	consumers	consumers	bacterivore	na
ASV2813	Eukaryota	Rhizaria	Cercozoa	Endomyxa	Vampyrellida	Leptophryidae	NA	NA	consumers	consumers	eukaryvore	na
ASV2814	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyceae	Sphaeropleales	Sphaeropleales_X	NA	NA	phototrophic	phototrophic	phototrophic	na
ASV2815	Eukaryota	Stramenopiles	Ochrophyta	Chrysophyceae	Chrysophyceae_X	Chrysophyceae_Clade-C	NA	NA	na	na	na	na
ASV2816	Eukaryota	Excavata	Discoba	Kinetoplastea	Trypanosomatida	Trypanosomatidae	NA	NA	animal_parasite	symbionts	animal_parasite	insect_parasite
ASV2817	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	NA	NA	NA	NA	phototrophic	phototrophic	phototrophic	na
ASV2818	Eukaryota	Amoebozoa	Lobosa	Tubulinea	Arcellinida	Arcellinida_X	Cryptodifflugia	NA	consumers	consumers	bacterivore	na
ASV2819	Eukaryota	Opisthokonta	Fungi	Chytridiomycota	Chytridiomycotina	Chytridiomycetes	Rhizophydium	Rhizophydium_patellarium	na	na	na	na
ASV282	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyceae	Chlamydomonadales	Chlamydomonadales_X	Tetrabaena	Tetrabaena_socialis	phototrophic	phototrophic	phototrophic	na
ASV2821	Eukaryota	Stramenopiles	Sagenista	Labyrinthulomycetes	Labyrinthulida	Labyrinthulaceae	Labyrinthulaceae_ANT10_3	Labyrinthulaceae_ANT10_3_sp.	consumers	consumers	bacterivore	na
ASV2822	Eukaryota	Stramenopiles	Ochrophyta	Chrysophyceae	Chrysophyceae_X	NA	NA	NA	na	na	na	na
ASV2823	Eukaryota	Archaeplastida	Chlorophyta	Trebouxiophyceae	Chlorellales	Chlorellales_X	NA	NA	phototrophic	phototrophic	phototrophic	na
ASV2824	Eukaryota	Opisthokonta	Metazoa	NA	NA	NA	NA	NA	na	na	na	na
ASV2825	Eukaryota	Opisthokonta	NA	NA	NA	NA	NA	NA	na	na	na	na
ASV2826	Eukaryota	Stramenopiles	NA	NA	NA	NA	NA	NA	na	na	na	na
