	Ant	BYL33	BYL48	LP	MKIS	N3	P1	P3	SP	U1	U2	UP	V1	V2	WH	WHIS	CBP12	CBP14	CBP1	CBP3	CBP6	CBP7	CBP9	KJ11	KJ15	KJ17	KJ22	KJ25	KJ32	KJ33	KJ5	WL
ASV10041	0	0	0	0	0	0	4	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0
ASV10042	0	0	0	0	0	0	0	0	0	18	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0
ASV10043	0	0	0	0	0	0	11	5	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0
ASV10046	0	16	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0
ASV10047	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	8	0	0
ASV10048	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0
ASV10049	9	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	5	0	0	8	0	0	0	0	0	0	0	0	0	0
ASV1005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	80	119	305	7	0	10	63	0	0	0	0	0	0	0	68	56
ASV10050	0	0	0	0	0	4	2	0	0	7	14	0	3	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	11	0	0	0
ASV10051	0	0	0	0	0	0	0	0	0	7	0	0	7	0	0	0	0	0	0	0	0	0	0	4	3	0	0	0	5	4	0	0
ASV10052	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	6	0	7	0	0	0	6	0	0
ASV10054	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0
ASV10055	0	0	3	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0
ASV10056	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0
ASV10058	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	11	0	0	13	0	0	0	0	0	0	0	0	0	0	0
ASV10059	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	11	0	0	5	0	10	0	0	0	0	0	0
ASV10060	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0
ASV10061	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	12	0	0	14	0	3	0	0
ASV10063	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	20	0	0	0	0	0	0	0	0	0	0	0	5	0
ASV10064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	21	0
ASV10065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	8	0	0	7	0	0	0	0	0	0	0	0	11
ASV10066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	8	16	0	0	0	0
ASV10069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0
ASV1007	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	94	239	153	55	67	0	0	0	0	0	0	0	0	0	95	21
ASV10071	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0
ASV10072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	5	0	6	0	0
ASV10073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0
ASV10074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0
ASV10075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	7	0	0	13	0
ASV10076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	15	0	0	9	0
ASV10077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	22	0	0	0	0
ASV10078	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	16	0	0	8	0
ASV10079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	27	0	0	0	0
ASV1008	0	0	0	0	376	0	29	0	0	0	0	0	0	0	6	298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV10080	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0
ASV10081	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0
ASV10082	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0
ASV10083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0
ASV10084	2	0	0	10	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV10085	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV10086	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV10089	0	0	0	0	0	18	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV10090	0	0	0	0	0	4	0	0	0	0	0	0	0	0	23	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV10091	0	0	0	0	0	18	8	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV10092	0	0	0	0	0	0	3	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV10094	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV10095	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV10096	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV10097	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV10098	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2086	476	917	0	0	214	53	0	0	0	43	0	0	0	1103	57
ASV10100	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV10101	0	0	0	0	0	0	1	0	0	5	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ASV10102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV10103	2	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ASV10104	0	0	0	16	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ASV10105	16	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV10106	0	0	0	1	0	0	0	4	0	0	0	0	15	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0
ASV10107	0	0	0	8	0	0	7	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0
ASV10109	0	0	0	0	0	0	0	0	0	3	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0
ASV1011	0	0	0	0	0	0	0	0	0	29	11	7	0	0	0	0	0	0	0	0	0	0	0	43	327	346	0	9	0	0	0	0
ASV10110	0	4	7	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	1	8	0	0	0	0	0	0	0	0	0	0	0
ASV10111	2	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	10	0	0	0	0	0	0	0	0	0
ASV10112	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0
ASV10113	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0
ASV10114	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	2	0	0	0	0	0	0	0	6	0	0	0	0
ASV10115	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0
ASV10116	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	15	2	2	0	0	0
ASV10117	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0
ASV10118	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	22	0	0
ASV10119	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0
ASV1012	5	30	47	5	0	94	25	25	0	42	57	4	52	0	3	0	0	0	0	6	5	0	3	0	29	108	2	0	68	66	0	0
ASV10120	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0
ASV10121	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0
ASV10123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	3	5	1	2	15	0	0	0	0	0	0	0	0	0	0	0
ASV10124	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	15	2	0	0	8	2	0	0
