	old_pond	new_ID	new_pond	alt_ID	alt_pond	region	habitat	water_body	biome	vegetation_type	latitude_scale	latitude	longitude	elevation	year	water_temp	water_pH	water_conductivity	ave_ann_temp	sample_year_temp	sample_month_temp	sample_year_ground_temp	average_ground_temp	pond_area	mat_colour	read_count
N3.1	N3	UM1.1	UM1	UM_L1A	UML1	2_umiujaq	lake_inflow	lake	taiga	shrub_vegetation_tundra	55-59	56.155	-76.308	NA	2009	18.2	6.8	37	-2.977	-3.153	9.578	-3.925	-2.798	NA	NA	93678
N3.2	N3	UM1.2	UM1	UM_L1B	UML1	2_umiujaq	lake_inflow	lake	taiga	shrub_vegetation_tundra	55-59	56.155	-76.308	NA	2009	17.8	7.1	37	-2.977	-3.153	9.578	-3.925	-2.798	NA	NA	85388
N3.3	N3	UM1.3	UM1	UM_L1C	UML1	2_umiujaq	lake_inflow	lake	taiga	shrub_vegetation_tundra	55-59	56.155	-76.308	NA	2009	17.9	6.9	36.7	-2.977	-3.153	9.578	-3.925	-2.798	NA	NA	101312
U2.1	U2	UM2.1	UM2	UM_P1A	UMP1	2_umiujaq	thermokarst_pond	pond	taiga	shrub_vegetation_tundra	55-59	56.62	-76.626	154	2009	17.5	7.08	58.3	-2.977	-3.153	9.578	-3.925	-2.798	20x8	orange	83954
U2.2	U2	UM2.2	UM2	UM_P1B	UMP1	2_umiujaq	thermokarst_pond	pond	taiga	shrub_vegetation_tundra	55-59	56.62	-76.626	154	2009	17.7	7.01	57.2	-2.977	-3.153	9.578	-3.925	-2.798	20x8	orange	89682
U2.3	U2	UM2.3	UM2	UM_P1C	UMP1	2_umiujaq	thermokarst_pond	pond	taiga	shrub_vegetation_tundra	55-59	56.62	-76.626	154	2009	17.5	7.08	57.1	-2.977	-3.153	9.578	-3.925	-2.798	20x8	orange	89821
U1.1	U1	UM3.1	UM3	UM_P2A	UMP2	2_umiujaq	small_thermokarst_pond	pond	taiga	shrub_vegetation_tundra	55-59	56.622	-76.601	237	2009	17.5	7.7	36.1	-2.977	-3.153	9.578	-3.925	-2.798	3x10	NA	121750
U1.2	U1	UM3.2	UM3	UM_P2B	UMP2	2_umiujaq	small_thermokarst_pond	pond	taiga	shrub_vegetation_tundra	55-59	56.622	-76.601	237	2009	18	7.1	37.8	-2.977	-3.153	9.578	-3.925	-2.798	3x10	NA	129633
U1.3	U1	UM3.3	UM3	UM_P2C	UMP2	2_umiujaq	small_thermokarst_pond	pond	taiga	shrub_vegetation_tundra	55-59	56.622	-76.601	237	2009	17.8	7.3	35.8	-2.977	-3.153	9.578	-3.925	-2.798	3x10	NA	95618
V2.1	V2	UM4.1	UM4	UM_P3A	UMP3	2_umiujaq	thermokarst_pond	pond	taiga	shrub_vegetation_tundra	55-59	56.682	-76.707	406	2009	16.2	5.9	29.8	-2.977	-3.153	9.578	-3.925	-2.798	20x15	brown	101762
V2.2	V2	UM4.2	UM4	UM_P3B	UMP3	2_umiujaq	thermokarst_pond	pond	taiga	shrub_vegetation_tundra	55-59	56.682	-76.707	406	2009	16.2	5.9	29.8	-2.977	-3.153	9.578	-3.925	-2.798	20x15	brown	97483
V2.3	V2	UM4.3	UM4	UM_P3C	UMP3	2_umiujaq	thermokarst_pond	pond	taiga	shrub_vegetation_tundra	55-59	56.682	-76.707	406	2009	16.2	5.9	29.8	-2.977	-3.153	9.578	-3.925	-2.798	20x15	brown	146093
UP.1	UP	UM5.1	UM5	UM_RP1A	UMRP1	2_umiujaq	rock_pool	rock_pool	taiga	shrub_vegetation_tundra	55-59	56.709	-76.616	30	2009	15.5	9.66	112.5	-2.977	-3.153	9.578	-3.925	-2.798	1x1	NA	137179
UP.2	UP	UM5.2	UM5	UM_RP1B	UMRP1	2_umiujaq	rock_pool	rock_pool	taiga	shrub_vegetation_tundra	55-59	56.709	-76.616	30	2009	15.5	9.66	112.5	-2.977	-3.153	9.578	-3.925	-2.798	1x1	NA	135317
UP.3	UP	UM5.3	UM5	UM_RP1C	UMRP1	2_umiujaq	rock_pool	rock_pool	taiga	shrub_vegetation_tundra	55-59	56.709	-76.616	30	2009	15.5	9.66	112.5	-2.977	-3.153	9.578	-3.925	-2.798	1x1	NA	125158
P1.1	P1	UM6.1	UM6	UM_P4A	UMP4	2_umiujaq	thermokarst_pond	pond	taiga	shrub_vegetation_tundra	55-59	56.789	-76.296	5.88	2009	14.6	6.7	36.8	-2.977	-3.153	9.578	-3.925	-2.798	15x20	brown	105833
P1.2	P1	UM6.2	UM6	UM_P4B	UMP4	2_umiujaq	thermokarst_pond	pond	taiga	shrub_vegetation_tundra	55-59	56.789	-76.296	5.88	2009	14.7	7.15	36.7	-2.977	-3.153	9.578	-3.925	-2.798	15x20	brown	95533
P1.3	P1	UM6.3	UM6	UM_P4C	UMP4	2_umiujaq	thermokarst_pond	pond	taiga	shrub_vegetation_tundra	55-59	56.789	-76.296	5.88	2009	15.7	6.83	36.4	-2.977	-3.153	9.578	-3.925	-2.798	15x20	brown	149417
P3.1	P3	UM7.1	UM7	UM_P5A	UMP5	2_umiujaq	thermokarst_pond	pond	taiga	shrub_vegetation_tundra	55-59	56.792	-76.313	15	2009	15.2	7.1	29.7	-2.977	-3.153	9.578	-3.925	-2.798	12x15	green	39087
P3.2	P3	UM7.2	UM7	UM_P5B	UMP5	2_umiujaq	thermokarst_pond	pond	taiga	shrub_vegetation_tundra	55-59	56.792	-76.313	15	2009	15.9	6.79	30.1	-2.977	-3.153	9.578	-3.925	-2.798	12x15	green	45412
P3.3	P3	UM7.3	UM7	UM_P5C	UMP5	2_umiujaq	thermokarst_pond	pond	taiga	shrub_vegetation_tundra	55-59	56.792	-76.313	15	2009	15.6	6.75	29.5	-2.977	-3.153	9.578	-3.925	-2.798	12x15	green	72807
V1.1	V1	UM8.1	UM8	UM_P6A	UMP6	2_umiujaq	thermokarst_pond	pond	taiga	shrub_vegetation_tundra	55-59	56.795	-76.517	175	2009	16.7	6.4	32.6	-2.977	-3.153	9.578	-3.925	-2.798	7x14	red_green	82869
V1.2	V1	UM8.2	UM8	UM_P6B	UMP6	2_umiujaq	thermokarst_pond	pond	taiga	shrub_vegetation_tundra	55-59	56.795	-76.517	175	2009	17	6.3	31.2	-2.977	-3.153	9.578	-3.925	-2.798	7x14	red_green	84250
V1.3	V1	UM8.3	UM8	UM_P6C	UMP6	2_umiujaq	thermokarst_pond	pond	taiga	shrub_vegetation_tundra	55-59	56.795	-76.517	175	2009	16.7	6.4	32.6	-2.977	-3.153	9.578	-3.925	-2.798	7x14	red_green	75147
CBP9A	CBP9	CB1.1	CB1	CB_P1A	CBP1	3_cambridge_bay	pond	pond	tundra	dwarf_shrub_tundra	65-69	69.129	-105.087	NA	2017	17.3	9.4	758	-13.229	-12.5	9.5	NA	NA	NA	orange_green	145220
CBP9B	CBP9	CB1.2	CB1	CB_P1B	CBP1	3_cambridge_bay	pond	pond	tundra	dwarf_shrub_tundra	65-69	69.129	-105.087	NA	2017	17	9.37	759	-13.229	-12.5	9.5	NA	NA	NA	orange_green	155872
CBP9C	CBP9	CB1.3	CB1	CB_P1C	CBP1	3_cambridge_bay	pond	pond	tundra	dwarf_shrub_tundra	65-69	69.129	-105.087	NA	2017	17	9.31	761	-13.229	-12.5	9.5	NA	NA	NA	orange_green	123685
WLA	WL	CB2.1	CB2	CB_L1A	CBL1	3_cambridge_bay	lake	lake	tundra	dwarf_shrub_tundra	65-69	69.136	-105.053	NA	2017	8.8	8.92	376	-13.229	-12.5	9.5	NA	NA	NA	orange_green	136883
WLB	WL	CB2.2	CB2	CB_L1B	CBL1	3_cambridge_bay	lake	lake	tundra	dwarf_shrub_tundra	65-69	69.136	-105.053	NA	2017	8.8	8.84	376	-13.229	-12.5	9.5	NA	NA	NA	orange_green	135813
