OTUID	region	latitude	longitude	year	water_temp	water_pH	conductivity	elevation	ave_ann_temp	sample_year_temp	sample_month_temp	sample_year_ground_temp	average_ground_temp	habitat	water_body	pond_area	mat_colour	biome	vegetation_type
U1.3	2_umiujaq	56.622	-76.601	2009	17.8	7.3	35.8	237	-2.977	-3.153	9.578	-3.925	-2.798	small_thermokarst_pond	pond	3x10	NA	taiga	shrub_vegetation_tundra
V2.1	2_umiujaq	56.682	-76.707	2009	16.2	5.9	29.8	406	-2.977	-3.153	9.578	-3.925	-2.798	thermokarst_pond	pond	20x15	brown	taiga	shrub_vegetation_tundra
V2.2	2_umiujaq	56.682	-76.707	2009	16.2	5.9	29.8	406	-2.977	-3.153	9.578	-3.925	-2.798	thermokarst_pond	pond	20x15	brown	taiga	shrub_vegetation_tundra
V2.3	2_umiujaq	56.682	-76.707	2009	16.2	5.9	29.8	406	-2.977	-3.153	9.578	-3.925	-2.798	thermokarst_pond	pond	20x15	brown	taiga	shrub_vegetation_tundra
UP.1	2_umiujaq	56.709	-76.616	2009	15.5	9.66	112.5	30	-2.977	-3.153	9.578	-3.925	-2.798	rock_pool	pond	1x1	NA	taiga	shrub_vegetation_tundra
UP.2	2_umiujaq	56.709	-76.616	2009	15.5	9.66	112.5	30	-2.977	-3.153	9.578	-3.925	-2.798	rock_pool	pond	1x1	NA	taiga	shrub_vegetation_tundra
UP.3	2_umiujaq	56.709	-76.616	2009	15.5	9.66	112.5	30	-2.977	-3.153	9.578	-3.925	-2.798	rock_pool	pond	1x1	NA	taiga	shrub_vegetation_tundra
P1.1	2_umiujaq	56.789	-76.296	2009	14.6	6.7	36.8	5.88	-2.977	-3.153	9.578	-3.925	-2.798	thermokarst_pond	pond	15x20	brown	taiga	shrub_vegetation_tundra
P1.2	2_umiujaq	56.789	-76.296	2009	14.7	7.15	36.7	5.88	-2.977	-3.153	9.578	-3.925	-2.798	thermokarst_pond	pond	15x20	brown	taiga	shrub_vegetation_tundra
P1.3	2_umiujaq	56.789	-76.296	2009	15.7	6.83	36.4	5.88	-2.977	-3.153	9.578	-3.925	-2.798	thermokarst_pond	pond	15x20	brown	taiga	shrub_vegetation_tundra
P3.1	2_umiujaq	56.792	-76.313	2009	15.2	7.1	29.7	15	-2.977	-3.153	9.578	-3.925	-2.798	thermokarst_pond	pond	12x15	green	taiga	shrub_vegetation_tundra
P3.2	2_umiujaq	56.792	-76.313	2009	15.9	6.79	30.1	15	-2.977	-3.153	9.578	-3.925	-2.798	thermokarst_pond	pond	12x15	green	taiga	shrub_vegetation_tundra
P3.3	2_umiujaq	56.792	-76.313	2009	15.6	6.75	29.5	15	-2.977	-3.153	9.578	-3.925	-2.798	thermokarst_pond	pond	12x15	green	taiga	shrub_vegetation_tundra
V1.1	2_umiujaq	56.795	-76.517	2009	16.7	6.4	32.6	175	-2.977	-3.153	9.578	-3.925	-2.798	thermokarst_pond	pond	7x14	red_green	taiga	shrub_vegetation_tundra
V1.2	2_umiujaq	56.795	-76.517	2009	17	6.3	31.2	175	-2.977	-3.153	9.578	-3.925	-2.798	thermokarst_pond	pond	7x14	red_green	taiga	shrub_vegetation_tundra
V1.3	2_umiujaq	56.795	-76.517	2009	16.7	6.4	32.6	175	-2.977	-3.153	9.578	-3.925	-2.798	thermokarst_pond	pond	7x14	red_green	taiga	shrub_vegetation_tundra
CBP9A	3_cambridge_bay	69.129	-105.087	2017	17.3	9.4	758	NA	-13.229	-12.5	9.5	NA	NA	pond	pond	NA	orange_green	tundra	dwarf_shrub_tundra
CBP9B	3_cambridge_bay	69.129	-105.087	2017	17	9.37	759	NA	-13.229	-12.5	9.5	NA	NA	pond	pond	NA	orange_green	tundra	dwarf_shrub_tundra
CBP9C	3_cambridge_bay	69.129	-105.087	2017	17	9.31	761	NA	-13.229	-12.5	9.5	NA	NA	pond	pond	NA	orange_green	tundra	dwarf_shrub_tundra
WLC	3_cambridge_bay	69.136	-105.053	2017	8.9	8.79	374	NA	-13.229	-12.5	9.5	NA	NA	lake	lake	NA	orange_green	tundra	dwarf_shrub_tundra
WLB	3_cambridge_bay	69.136	-105.053	2017	8.8	8.84	376	NA	-13.229	-12.5	9.5	NA	NA	lake	lake	NA	orange_green	tundra	dwarf_shrub_tundra
WLA	3_cambridge_bay	69.136	-105.053	2017	8.8	8.92	376	NA	-13.229	-12.5	9.5	NA	NA	lake	lake	NA	orange_green	tundra	dwarf_shrub_tundra
CBP12C	3_cambridge_bay	69.184	-104.691	2017	10.1	9.06	993	NA	-13.229	-12.5	9.5	NA	NA	pond	pond	NA	orange_green	tundra	dwarf_shrub_tundra
CBP12B	3_cambridge_bay	69.184	-104.691	2017	10.3	9.04	992	NA	-13.229	-12.5	9.5	NA	NA	pond	pond	NA	orange_green	tundra	dwarf_shrub_tundra
CBP12A	3_cambridge_bay	69.184	-104.691	2017	10.2	8.99	990	NA	-13.229	-12.5	9.5	NA	NA	pond	pond	NA	orange_green	tundra	dwarf_shrub_tundra
CBP14C	3_cambridge_bay	69.184	-104.696	2017	10	8.84	767	NA	-13.229	-12.5	9.5	NA	NA	pond	pond	NA	orange_green	tundra	dwarf_shrub_tundra
CBP14B	3_cambridge_bay	69.184	-104.696	2017	10.2	8.92	763	NA	-13.229	-12.5	9.5	NA	NA	pond	pond	NA	orange_green	tundra	dwarf_shrub_tundra
CBP14A	3_cambridge_bay	69.184	-104.696	2017	10	9.84	763	NA	-13.229	-12.5	9.5	NA	NA	pond	pond	NA	orange_green	tundra	dwarf_shrub_tundra
CBP1A	3_cambridge_bay	69.21	-104.787	2017	18.1	8.36	1284	NA	-13.229	-12.5	9.5	NA	NA	lake	lake	100x60	orange_green	tundra	dwarf_shrub_tundra
CBP1B	3_cambridge_bay	69.21	-104.787	2017	18.2	8.16	1302	NA	-13.229	-12.5	9.5	NA	NA	lake	lake	100x60	orange_green	tundra	dwarf_shrub_tundra
CBP1C	3_cambridge_bay	69.21	-104.786	2017	15.5	8.18	1322	NA	-13.229	-12.5	9.5	NA	NA	lake	lake	100x60	orange_green	tundra	dwarf_shrub_tundra
