ASVID	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV1	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium_sensu_stricto_13	NA
ASV10	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	NA
ASV100	Bacteria	Bacteroidota	Bacteroidia	SM1A07	NA	NA	NA
ASV10000	Bacteria	Abditibacteriota	Abditibacteria	Abditibacteriales	Abditibacteriaceae	Abditibacterium	NA
ASV10001	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	NA	NA	NA
ASV10002	Bacteria	Chloroflexi	Anaerolineae	SBR1031	NA	NA	NA
ASV10003	Bacteria	Verrucomicrobiota	Verrucomicrobiae	NA	NA	NA	NA
ASV10004	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	Tepidisphaeraceae	NA	NA
ASV10005	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	NA	NA
ASV10006	Bacteria	Proteobacteria	Gammaproteobacteria	HOC36	NA	NA	NA
ASV10007	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	Gemmata	NA
ASV10008	Bacteria	Actinobacteriota	Acidimicrobiia	NA	NA	NA	NA
ASV10009	Bacteria	Myxococcota	Polyangia	Polyangiales	Polyangiaceae	Pajaroellobacter	NA
ASV10010	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	Gemmata	NA
ASV10011	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Edaphobaculum	NA
ASV10012	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Edaphobaculum	NA
ASV10013	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	WWH38	NA	NA
ASV10014	Bacteria	Chloroflexi	Anaerolineae	SBR1031	A4b	NA	NA
ASV10015	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	NA	NA
ASV10016	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	Gemmata	NA
ASV10017	Archaea	Halobacterota	Methanocellia	Methanocellales	Methanocellaceae	Methanocella	NA
ASV10018	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Microcystaceae	NA	NA
ASV1002	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	NA	NA
ASV10020	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	NA	NA	NA
ASV10021	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella	NA
ASV10023	Bacteria	Firmicutes	Clostridia	Oscillospirales	Hungateiclostridiaceae	NA	NA
ASV10024	Bacteria	Firmicutes	Clostridia	Oscillospirales	Hungateiclostridiaceae	NA	NA
ASV10025	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_Incertae_Sedis	Unknown_Family	Acidibacter	NA
ASV10026	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Spirosomaceae	Lacihabitans	NA
ASV10027	Bacteria	Sumerlaeota	Sumerlaeia	Sumerlaeales	Sumerlaeaceae	Sumerlaea	NA
ASV10028	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Ilumatobacteraceae	CL500-29_marine_group	NA
ASV10029	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	Lewinella	NA
ASV1003	Bacteria	Cyanobacteria	Cyanobacteriia	Phormidesmiales	Nodosilineaceae	Nodosilinea_PCC-7104	NA
ASV10030	Bacteria	Verrucomicrobiota	Chlamydiae	Chlamydiales	Parachlamydiaceae	NA	NA
ASV10031	Bacteria	Acidobacteriota	AT-s3-28	NA	NA	NA	NA
ASV10032	Bacteria	Verrucomicrobiota	Chlamydiae	Chlamydiales	Parachlamydiaceae	Neochlamydia	NA
ASV10033	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	NA	NA
ASV10034	Bacteria	Verrucomicrobiota	Chlamydiae	Chlamydiales	NA	NA	NA
ASV10035	Bacteria	Acidobacteriota	Acidobacteriae	Solibacterales	Solibacteraceae	Candidatus_Solibacter	NA
ASV10036	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Cellvibrionaceae	Cellvibrio	NA
ASV10037	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella	NA
ASV10039	Bacteria	Verrucomicrobiota	Verrucomicrobiae	S-BQ2-57_soil_group	NA	NA	NA
ASV1004	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	soyangense
ASV10041	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	NA
ASV10042	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	NA	NA
ASV10043	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	NA	NA
ASV10046	Bacteria	Cyanobacteria	NA	NA	NA	NA	NA
ASV10047	Bacteria	SAR324_clade(Marine_group_B)	NA	NA	NA	NA	NA
ASV10048	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	NA	NA
ASV10049	Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Propionibacteriaceae	NA	NA
ASV1005	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Microscillaceae	NA	NA
ASV10050	Bacteria	Sumerlaeota	Sumerlaeia	Sumerlaeales	Sumerlaeaceae	Sumerlaea	NA
ASV10051	Bacteria	Proteobacteria	NA	NA	NA	NA	NA
ASV10052	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	Gemmata	NA
ASV10054	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101_soil_group	NA	NA
ASV10055	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	NA	NA	NA
ASV10056	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	SM2D12	NA	NA
ASV10058	Bacteria	Proteobacteria	Alphaproteobacteria	Paracaedibacterales	Paracaedibacteraceae	Candidatus_Paracaedibacter	NA
ASV10059	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA
ASV10060	Bacteria	Acidobacteriota	Acidobacteriae	Bryobacterales	Bryobacteraceae	Bryobacter	NA
ASV10061	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	NA	NA
ASV10063	Bacteria	Chloroflexi	Anaerolineae	SBR1031	NA	NA	NA
ASV10064	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	NA	NA
ASV10065	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA	NA
ASV10066	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA
ASV10069	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	NA	NA
ASV1007	Bacteria	Cyanobacteria	Cyanobacteriia	Gloeobacterales	Gloeobacteraceae	Gloeobacter_PCC-7421	NA
ASV10071	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	NA	NA
ASV10072	Bacteria	Planctomycetota	vadinHA49	NA	NA	NA	NA
ASV10073	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	NA	NA
ASV10074	Bacteria	Myxococcota	Polyangia	Polyangiales	NA	NA	NA
ASV10075	Bacteria	Dependentiae	Babeliae	Babeliales	Babeliaceae	NA	NA
ASV10076	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	Telmatocola	NA
ASV10077	Bacteria	Bacteroidota	Bacteroidia	NA	NA	NA	NA
ASV10078	Bacteria	Chloroflexi	Anaerolineae	SBR1031	A4b	NA	NA
ASV10079	Bacteria	Verrucomicrobiota	Chlamydiae	Chlamydiales	Simkaniaceae	NA	NA
ASV1008	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Demequinaceae	Demequina	lutea
ASV10080	Bacteria	Verrucomicrobiota	Chlamydiae	Chlamydiales	Parachlamydiaceae	NA	NA
ASV10081	Bacteria	Verrucomicrobiota	Chlamydiae	Chlamydiales	Parachlamydiaceae	Neochlamydia	NA
ASV10082	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Opitutaceae	IMCC26134	NA
ASV10083	Bacteria	Cyanobacteria	Cyanobacteriia	RD017	NA	NA	NA
ASV10084	Bacteria	Planctomycetota	OM190	NA	NA	NA	NA
ASV10085	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prolixibacteraceae	WCHB1-32	NA
ASV10086	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Solirubrobacter	NA
ASV10089	Bacteria	MBNT15	NA	NA	NA	NA	NA
ASV10090	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Cyanobacteriales_Incertae_Sedis	NA	NA
ASV10091	Bacteria	Nitrospinota	P9X2b3D02	NA	NA	NA	NA
ASV10092	Bacteria	Cyanobacteria	Cyanobacteriia	Leptolyngbyales	Leptolyngbyaceae	Chamaesiphon_PCC-7430	NA
ASV10094	Bacteria	Cyanobacteria	Cyanobacteriia	Leptolyngbyales	Leptolyngbyaceae	NA	NA
ASV10095	Bacteria	Patescibacteria	Gracilibacteria	Absconditabacteriales_(SR1)	NA	NA	NA
ASV10096	Bacteria	Spirochaetota	Spirochaetia	Spirochaetales	Spirochaetaceae	M2PT2-76_termite_group	NA
ASV10097	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	NA	NA	NA
ASV10098	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	NA	NA
ASV101	Bacteria	Chloroflexi	Anaerolineae	SBR1031	A4b	NA	NA
ASV10100	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	NA	NA	NA
ASV10101	Bacteria	Sumerlaeota	Sumerlaeia	Sumerlaeales	Sumerlaeaceae	Sumerlaea	NA
ASV10102	Bacteria	Patescibacteria	ABY1	NA	NA	NA	NA
ASV10103	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	NS11-12_marine_group	NA	NA
ASV10104	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Chthoniobacterales	Chthoniobacteraceae	Chthoniobacter	NA
ASV10105	Bacteria	Chloroflexi	Anaerolineae	SBR1031	A4b	NA	NA
ASV10106	Bacteria	Bacteroidota	Kryptonia	Kryptoniales	BSV26	NA	NA
ASV10107	Bacteria	Proteobacteria	Alphaproteobacteria	Azospirillales	Azospirillaceae	Skermanella	aerolata
ASV10109	Bacteria	Latescibacterota	NA	NA	NA	NA	NA
ASV1011	Bacteria	Cyanobacteria	Cyanobacteriia	Leptolyngbyales	Leptolyngbyaceae	NA	NA
ASV10110	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	NA	NA
ASV10111	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	LWQ8	NA	NA
ASV10112	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Microtrichaceae	NA	NA
ASV10113	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	NA	NA
ASV10114	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA	NA
ASV10115	Bacteria	Dependentiae	Babeliae	Babeliales	Vermiphilaceae	NA	NA
ASV10116	Bacteria	Sumerlaeota	Sumerlaeia	Sumerlaeales	Sumerlaeaceae	Sumerlaea	NA
ASV10117	Bacteria	Bacteroidota	Kryptonia	Kryptoniales	BSV26	NA	NA
ASV10118	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	DEV007	NA	NA
ASV10119	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Iamiaceae	Iamia	NA
ASV1012	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	NA	NA
ASV10120	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	AKYH767	NA	NA
ASV10121	Bacteria	Verrucomicrobiota	Chlamydiae	Chlamydiales	Parachlamydiaceae	NA	NA
ASV10123	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	NA	NA	NA
ASV10124	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA	NA
ASV10125	Bacteria	Myxococcota	Polyangia	mle1-27	NA	NA	NA
ASV10127	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	Tepidisphaeraceae	NA	NA
ASV10128	Bacteria	Proteobacteria	Gammaproteobacteria	Diplorickettsiales	Diplorickettsiaceae	Aquicella	NA
ASV10129	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	NA	NA	NA
ASV10130	Bacteria	Planctomycetota	Planctomycetes	Isosphaerales	Isosphaeraceae	Isosphaera	NA
ASV10131	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	Fimbriiglobus	NA
ASV10132	Bacteria	Verrucomicrobiota	Chlamydiae	Chlamydiales	Parachlamydiaceae	NA	NA
ASV10133	Bacteria	Proteobacteria	Alphaproteobacteria	Micavibrionales	Micavibrionaceae	NA	NA
ASV10134	Bacteria	Proteobacteria	Alphaproteobacteria	Micropepsales	Micropepsaceae	NA	NA
ASV10136	Bacteria	Patescibacteria	Parcubacteria	Candidatus_Kaiserbacteria	NA	NA	NA
ASV10137	Bacteria	Firmicutes	Clostridia	Oscillospirales	Hungateiclostridiaceae	Anaerobacterium	NA
ASV10139	Bacteria	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Bdellovibrionaceae	OM27_clade	NA
ASV1014	Bacteria	Verrucomicrobiota	Chlamydiae	Chlamydiales	Simkaniaceae	NA	NA
ASV10140	Bacteria	Cyanobacteria	Cyanobacteriia	Gloeobacterales	Gloeobacteraceae	Gloeobacter_PCC-7421	NA
ASV10141	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	SM2D12	NA	NA
ASV10142	Bacteria	Chloroflexi	Anaerolineae	RBG-13-54-9	NA	NA	NA
ASV10143	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Chthoniobacterales	Chthoniobacteraceae	NA	NA
ASV10144	Bacteria	Bdellovibrionota	Oligoflexia	0319-6G20	NA	NA	NA
ASV10145	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	NA	NA
ASV10147	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	NA	NA
ASV10148	Bacteria	Proteobacteria	Gammaproteobacteria	Diplorickettsiales	Diplorickettsiaceae	Aquicella	NA
ASV10149	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella	NA
ASV1015	Bacteria	Cyanobacteria	Cyanobacteriia	Leptolyngbyales	Leptolyngbyaceae	Leptolyngbya_ANT.L52.2	NA
ASV10150	Bacteria	Patescibacteria	Parcubacteria	Candidatus_Yanofskybacteria	NA	NA	NA
ASV10151	Bacteria	Actinobacteriota	Actinobacteria	NA	NA	NA	NA
ASV10153	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prolixibacteraceae	NA	NA
ASV10154	Bacteria	Planctomycetota	Planctomycetes	Isosphaerales	Isosphaeraceae	Paludisphaera	NA
ASV10155	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	NA	NA
ASV10156	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	NA	NA
ASV10157	Bacteria	Verrucomicrobiota	Chlamydiae	Chlamydiales	Parachlamydiaceae	NA	NA
ASV10158	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Magnetospirillaceae	Magnetospirillum	NA
ASV10159	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Pseudorhodoplanes	NA
ASV1016	Bacteria	Cyanobacteria	Cyanobacteriia	Leptolyngbyales	Leptolyngbyaceae	NA	NA
ASV10160	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Chthoniobacterales	Xiphinematobacteraceae	Candidatus_Xiphinematobacter	NA
ASV10161	Bacteria	Desulfobacterota	NA	NA	NA	NA	NA
ASV10162	Bacteria	Myxococcota	Polyangia	Polyangiales	Phaselicystidaceae	Phaselicystis	NA
ASV10163	Bacteria	Bacteroidota	Ignavibacteria	Ignavibacteriales	SR-FBR-L83	NA	NA
ASV10164	Bacteria	Bdellovibrionota	Bdellovibrionia	Bacteriovoracales	Bacteriovoracaceae	Bacteriovorax	NA
ASV10165	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	Gemmata	NA
ASV10166	Bacteria	Patescibacteria	Microgenomatia	Candidatus_Woykebacteria	NA	NA	NA
ASV10167	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	NA	NA
ASV10168	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella	NA
ASV10169	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	NA	NA	NA
ASV1017	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Rhodoblastus	NA
ASV10171	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	NA	NA
ASV10172	Bacteria	Proteobacteria	Alphaproteobacteria	Micavibrionales	Micavibrionaceae	NA	NA
ASV10173	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101_soil_group	NA	NA
ASV10174	Bacteria	Verrucomicrobiota	Chlamydiae	Chlamydiales	Parachlamydiaceae	NA	NA
ASV10175	Bacteria	SAR324_clade(Marine_group_B)	NA	NA	NA	NA	NA
ASV10176	Bacteria	Bdellovibrionota	Oligoflexia	Silvanigrellales	Silvanigrellaceae	NA	NA
ASV10177	Bacteria	Cyanobacteria	Cyanobacteriia	Eurycoccales	NA	NA	NA
ASV10178	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA	NA
ASV10179	Bacteria	Planctomycetota	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	SM1A02	NA
ASV1018	Bacteria	Planctomycetota	Phycisphaerae	mle1-8	NA	NA	NA
ASV10180	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	Telmatocola	NA
ASV10181	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101_soil_group	NA	NA
ASV10182	Bacteria	Planctomycetota	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	SM1A02	NA
ASV10183	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	NA	NA
ASV10184	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	NA	NA	NA
ASV10185	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Phenylobacterium	NA
ASV10186	Bacteria	Firmicutes	Clostridia	Oscillospirales	Hungateiclostridiaceae	NA	NA
ASV10187	Bacteria	Actinobacteriota	Actinobacteria	NA	NA	NA	NA
ASV10189	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Roseiflexaceae	NA	NA
ASV10190	Bacteria	Planctomycetota	Planctomycetes	NA	NA	NA	NA
ASV10192	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	NA	NA
ASV10193	Bacteria	Patescibacteria	Parcubacteria	Candidatus_Kaiserbacteria	NA	NA	NA
ASV10195	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	Anaerolinea	NA
ASV10196	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	NA	NA
ASV10197	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Cereibacter	NA
ASV10199	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	NA	NA
ASV102	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Sutterellaceae	NA	NA
ASV10201	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	NA	NA
ASV10203	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	NA	NA
ASV10204	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_Incertae_Sedis	Unknown_Family	Candidatus_Ovatusbacter	NA
ASV10205	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	NA	NA	NA
ASV10206	Bacteria	Acidobacteriota	Blastocatellia	Nov-24	NA	NA	NA
ASV10207	Bacteria	Planctomycetota	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	SM1A02	NA
ASV10208	Bacteria	Myxococcota	Polyangia	Polyangiales	Sandaracinaceae	Sandaracinus	NA
ASV10209	Bacteria	Patescibacteria	Gracilibacteria	Absconditabacteriales_(SR1)	NA	NA	NA
ASV1021	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	SC-I-84	NA	NA
ASV10210	Bacteria	Actinobacteriota	NA	NA	NA	NA	NA
ASV10211	Bacteria	Acidobacteriota	Vicinamibacteria	Subgroup_17	NA	NA	NA
ASV10212	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	NA	NA	NA
ASV10213	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	NA	NA	NA
ASV10214	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Gallionellaceae	Candidatus_Nitrotoga	NA
ASV10215	Bacteria	Bacteroidota	Bacteroidia	NA	NA	NA	NA
ASV10216	Bacteria	Bacteroidota	Kapabacteria	Kapabacteriales	NA	NA	NA
ASV10217	Bacteria	Firmicutes	Clostridia	Oscillospirales	Hungateiclostridiaceae	Ruminiclostridium	NA
ASV10218	Bacteria	Spirochaetota	MVP-15	NA	NA	NA	NA
ASV10219	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	ADurb.Bin408	NA	NA
ASV1022	Bacteria	Acidobacteriota	Thermoanaerobaculia	Thermoanaerobaculales	Thermoanaerobaculaceae	Subgroup_10	NA
ASV10221	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	NA	NA	NA
ASV10222	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Methylobacterium-Methylorubrum	NA
ASV10224	Bacteria	Actinobacteriota	Acidimicrobiia	IMCC26256	NA	NA	NA
ASV10226	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	NA	NA	NA
ASV10227	Bacteria	Planctomycetota	Planctomycetes	Isosphaerales	Isosphaeraceae	NA	NA
ASV1023	Bacteria	Proteobacteria	Alphaproteobacteria	Micavibrionales	NA	NA	NA
ASV10230	Bacteria	Dependentiae	Babeliae	Babeliales	Vermiphilaceae	NA	NA
ASV10231	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	Fimbriiglobus	NA
ASV10233	Bacteria	WS4	NA	NA	NA	NA	NA
ASV10235	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Gemmatimonas	NA
ASV10236	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	Gemmata	NA
ASV10238	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Roseomonas	NA
ASV10239	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA
ASV1024	Bacteria	Cyanobacteria	Cyanobacteriia	Leptolyngbyales	Leptolyngbyaceae	NA	NA
ASV10240	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	NA	NA
ASV10241	Bacteria	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Bdellovibrionaceae	Bdellovibrio	NA
ASV10242	Bacteria	Desulfobacterota	NA	NA	NA	NA	NA
ASV10243	Bacteria	Myxococcota	Polyangia	mle1-27	NA	NA	NA
ASV10244	Bacteria	Chloroflexi	Anaerolineae	SBR1031	A4b	NA	NA
ASV10245	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	Anaerolinea	NA
ASV10246	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA
ASV10247	Bacteria	Planctomycetota	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	SM1A02	NA
ASV10248	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	NA	NA
ASV10249	Bacteria	Firmicutes	Clostridia	Oscillospirales	Hungateiclostridiaceae	NA	NA
ASV1025	Bacteria	Myxococcota	Polyangia	Haliangiales	Haliangiaceae	Haliangium	NA
ASV10250	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Chloroflexaceae	FFCH7168	NA
ASV10251	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	NA	NA
ASV10252	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101_soil_group	NA	NA
ASV10253	Bacteria	Chloroflexi	Anaerolineae	SBR1031	NA	NA	NA
ASV10254	Bacteria	Proteobacteria	Gammaproteobacteria	Coxiellales	Coxiellaceae	Coxiella	NA
ASV10255	Bacteria	SAR324_clade(Marine_group_B)	NA	NA	NA	NA	NA
ASV10256	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101_soil_group	NA	NA
ASV10257	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	NA	NA
ASV10258	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Microscillaceae	NA	NA
ASV10259	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	Fimbriiglobus	NA
ASV1026	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiales_Incertae_Sedis	Phreatobacter	NA
ASV10261	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA	NA
ASV10262	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pirellula	NA
ASV10263	Bacteria	Proteobacteria	Gammaproteobacteria	Diplorickettsiales	Diplorickettsiaceae	NA	NA
ASV10265	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Hyphomicrobium	NA
ASV10266	Bacteria	SAR324_clade(Marine_group_B)	NA	NA	NA	NA	NA
ASV10267	Bacteria	Planctomycetota	Planctomycetes	Isosphaerales	Isosphaeraceae	Candidatus_Nostocoida	NA
ASV10268	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella	NA
ASV10270	Bacteria	Armatimonadota	Chthonomonadetes	Chthonomonadales	NA	NA	NA
ASV10271	Bacteria	Firmicutes	Bacilli	Paenibacillales	Paenibacillaceae	Paenibacillus	NA
ASV10272	Bacteria	Verrucomicrobiota	Chlamydiae	Chlamydiales	Parachlamydiaceae	NA	NA
ASV10273	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	Schlesneriaceae	Schlesneria	NA
ASV10274	Bacteria	Myxococcota	Polyangia	Haliangiales	Haliangiaceae	Haliangium	NA
ASV10275	Bacteria	Verrucomicrobiota	Chlamydiae	Chlamydiales	NA	NA	NA
ASV10276	Bacteria	MBNT15	NA	NA	NA	NA	NA
ASV10277	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	NA	NA
ASV10278	Bacteria	Planctomycetota	Phycisphaerae	MSBL9	NA	NA	NA
ASV1028	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	NA	NA
ASV10280	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Tropicimonas	NA
ASV10282	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Candidatus_Methylospira	NA
